Feature,Importance
Risk_Score,0.31252805826084645
Transaction_Velocity,0.1934573656382404
Account_Age_Days,0.13261329087431514
Failed_Login_Attempts,0.12943247573477545
Unusual_Location,0.06157376754347279
Previous_Transactions_24H,0.040789327977243495
New_Device_Login,0.0399074712742162
International_Transaction,0.03518417402006656
Amount,0.020760906457273496
VPN_Used,0.011433427126095979
Country,0.008969997804918002
City,0.00542134807638133
Multiple_Cards_Used,0.002762389784799792
Merchant_Category,0.0027036367873894546
Day_Of_Week,0.002462362639965461
